threshold,precision,recall,f1,tn,fp,fn,tp
0.01,0.2216624685138539,0.8979591836734694,0.35555555555555557,56555,309,10,88
0.02,0.352,0.8979591836734694,0.5057471264367817,56702,162,10,88
0.03,0.43781094527363185,0.8979591836734694,0.5886287625418061,56751,113,10,88
0.04,0.4943820224719101,0.8979591836734694,0.6376811594202898,56774,90,10,88
0.05,0.5301204819277109,0.8979591836734694,0.6666666666666666,56786,78,10,88
0.060000000000000005,0.55,0.8979591836734694,0.6821705426356589,56792,72,10,88
0.06999999999999999,0.5827814569536424,0.8979591836734694,0.7068273092369478,56801,63,10,88
0.08,0.6068965517241379,0.8979591836734694,0.7242798353909465,56807,57,10,88
0.09,0.6330935251798561,0.8979591836734694,0.7426160337552743,56813,51,10,88
0.09999999999999999,0.6492537313432836,0.8877551020408163,0.75,56817,47,11,87
0.11,0.6744186046511628,0.8877551020408163,0.7665198237885462,56822,42,11,87
0.12,0.6796875,0.8877551020408163,0.7699115044247787,56823,41,11,87
0.13,0.696,0.8877551020408163,0.7802690582959642,56826,38,11,87
0.14,0.7049180327868853,0.8775510204081632,0.7818181818181819,56828,36,12,86
0.15000000000000002,0.7107438016528925,0.8775510204081632,0.7853881278538812,56829,35,12,86
0.16,0.7142857142857143,0.8673469387755102,0.783410138248848,56830,34,13,85
0.17,0.7264957264957265,0.8673469387755102,0.7906976744186046,56832,32,13,85
0.18000000000000002,0.7391304347826086,0.8673469387755102,0.7981220657276995,56834,30,13,85
0.19,0.7522123893805309,0.8673469387755102,0.8056872037914692,56836,28,13,85
0.2,0.7589285714285714,0.8673469387755102,0.8095238095238095,56837,27,13,85
0.21000000000000002,0.7727272727272727,0.8673469387755102,0.8173076923076923,56839,25,13,85
0.22,0.7798165137614679,0.8673469387755102,0.821256038647343,56840,24,13,85
0.23,0.7798165137614679,0.8673469387755102,0.821256038647343,56840,24,13,85
0.24000000000000002,0.7798165137614679,0.8673469387755102,0.821256038647343,56840,24,13,85
0.25,0.7798165137614679,0.8673469387755102,0.821256038647343,56840,24,13,85
0.26,0.794392523364486,0.8673469387755102,0.8292682926829268,56842,22,13,85
0.27,0.7924528301886793,0.8571428571428571,0.8235294117647058,56842,22,14,84
0.28,0.8,0.8571428571428571,0.8275862068965517,56843,21,14,84
0.29000000000000004,0.7980769230769231,0.8469387755102041,0.8217821782178217,56843,21,15,83
0.3,0.7980769230769231,0.8469387755102041,0.8217821782178217,56843,21,15,83
0.31,0.7980769230769231,0.8469387755102041,0.8217821782178217,56843,21,15,83
0.32,0.7980769230769231,0.8469387755102041,0.8217821782178217,56843,21,15,83
0.33,0.8058252427184466,0.8469387755102041,0.8258706467661692,56844,20,15,83
0.34,0.803921568627451,0.8367346938775511,0.82,56844,20,16,82
0.35000000000000003,0.803921568627451,0.8367346938775511,0.82,56844,20,16,82
0.36000000000000004,0.803921568627451,0.8367346938775511,0.82,56844,20,16,82
0.37,0.803921568627451,0.8367346938775511,0.82,56844,20,16,82
0.38,0.81,0.826530612244898,0.8181818181818182,56845,19,17,81
0.39,0.81,0.826530612244898,0.8181818181818182,56845,19,17,81
0.4,0.81,0.826530612244898,0.8181818181818182,56845,19,17,81
0.41000000000000003,0.8181818181818182,0.826530612244898,0.8223350253807107,56846,18,17,81
0.42000000000000004,0.826530612244898,0.826530612244898,0.826530612244898,56847,17,17,81
0.43,0.8350515463917526,0.826530612244898,0.8307692307692308,56848,16,17,81
0.44,0.84375,0.826530612244898,0.8350515463917526,56849,15,17,81
0.45,0.84375,0.826530612244898,0.8350515463917526,56849,15,17,81
0.46,0.84375,0.826530612244898,0.8350515463917526,56849,15,17,81
0.47000000000000003,0.84375,0.826530612244898,0.8350515463917526,56849,15,17,81
0.48000000000000004,0.84375,0.826530612244898,0.8350515463917526,56849,15,17,81
0.49,0.84375,0.826530612244898,0.8350515463917526,56849,15,17,81
0.5,0.8526315789473684,0.826530612244898,0.8393782383419689,56850,14,17,81
