model,roc_auc,pr_auc,training_time_sec,tn,fp,fn,tp
"Random Forest (300 trees, balanced)",0.951454257490841,0.8622748060998633,56.964499950408936,56860,4,23,75
Logistic Regression (balanced),0.971833350320995,0.7089940634873162,4.540114879608154,55471,1393,8,90
HistGradientBoosting,0.8732677968486213,0.6908694029572346,0.7510111331939697,56817,47,23,75
